x,y,timestamp
1230,509,1738407795.982952
1214,484,1738407795.9887657
1194,461,1738407795.9955683
1167,430,1738407796.0025988
1135,401,1738407796.0106862
1104,371,1738407796.0163414
1077,353,1738407796.0252275
1051,341,1738407796.032249
1013,329,1738407796.0394502
970,321,1738407796.0445402
954,321,1738407796.0520713
926,322,1738407796.058003
896,330,1738407796.065825
865,344,1738407796.074055
828,362,1738407796.0806174
806,378,1738407796.0866518
786,395,1738407796.0934956
774,410,1738407796.09989
762,431,1738407796.1076252
749,457,1738407796.1155317
741,482,1738407796.1223776
738,507,1738407796.128294
738,529,1738407796.1345556
743,566,1738407796.1428797
753,601,1738407796.149728
765,629,1738407796.156932
779,666,1738407796.1645248
798,705,1738407796.1715317
814,741,1738407796.1790593
835,781,1738407796.186624
850,805,1738407796.1918864
860,819,1738407796.199746
867,827,1738407796.2062757
873,831,1738407796.2131336
878,833,1738407796.2203398
879,833,1738407796.2273102
880,832,1738407796.2343144
880,830,1738407796.2424543
876,824,1738407796.2490838
863,808,1738407796.2557235
843,787,1738407796.2633398
820,768,1738407796.2703996
779,737,1738407796.276222
735,703,1738407796.2844284
678,663,1738407796.291278
631,628,1738407796.2981987
585,594,1738407796.3053017
547,565,1738407796.3121564
506,534,1738407796.3192122
475,507,1738407796.325931
456,488,1738407796.3336957
436,468,1738407796.3397675
428,458,1738407796.3437877
421,446,1738407796.352575
420,437,1738407796.3585672
421,431,1738407796.3648536
427,424,1738407796.371715
440,415,1738407796.377478
464,403,1738407796.384326
508,386,1738407796.396879
559,374,1738407796.403809
615,364,1738407796.4107947
664,360,1738407796.4142458
716,358,1738407796.4247026
784,358,1738407796.4316375
852,361,1738407796.4386096
926,372,1738407796.4460661
974,379,1738407796.453234
1038,396,1738407796.460074
1090,412,1738407796.4667435
1128,425,1738407796.4737816
1172,438,1738407796.4806063
1220,452,1738407796.4876356
1266,463,1738407796.4949315
1314,475,1738407796.5022562
1346,481,1738407796.5088654
1376,488,1738407796.5157564
1390,489,1738407796.5224175
1409,492,1738407796.5298567
1424,492,1738407796.5366092
1434,492,1738407796.543388
1444,490,1738407796.5510063
1450,488,1738407796.5581691
1453,486,1738407796.565035
1456,482,1738407796.5717657
1457,481,1738407796.5789993
1457,477,1738407796.585789
1457,470,1738407796.5927756
1456,458,1738407796.59968
1446,434,1738407796.6067443
1434,413,1738407796.6134489
1425,401,1738407796.6208372
1417,394,1738407796.6275644
1404,387,1738407796.6347291
1388,381,1738407796.6415563
1374,379,1738407796.6484601
1356,379,1738407796.6567743
1341,381,1738407796.6623209
1316,388,1738407796.6690361
1290,397,1738407796.675869
1268,405,1738407796.6831012
1247,417,1738407796.690127
1227,432,1738407796.6970356
1207,449,1738407796.7054946
1190,469,1738407796.7120821
1174,487,1738407796.7199662
1162,501,1738407796.7252896
1151,514,1738407796.7314603
1141,524,1738407796.7386396
1129,539,1738407796.7457464
1117,556,1738407796.7526498
1101,578,1738407796.759493
1094,588,1738407796.7677221
1082,605,1738407796.7731328
1075,615,1738407796.78226
1067,623,1738407796.7889192
1060,629,1738407796.7960908
1051,633,1738407796.8012583
1044,636,1738407796.8075192
1029,640,1738407796.8157003
1009,641,1738407796.8218007
983,639,1738407796.828337
960,638,1738407796.8370013
928,627,1738407796.8426547
898,619,1738407796.853039
877,609,1738407796.8589342
855,595,1738407796.8642678
845,586,1738407796.874447
832,568,1738407796.8770037
823,553,1738407796.8842845
815,537,1738407796.89288
810,523,1738407796.8980584
808,503,1738407796.9052074
808,486,1738407796.9157782
808,471,1738407796.9219115
814,455,1738407796.929738
821,445,1738407796.936513
837,427,1738407796.9434078
850,416,1738407796.951043
871,404,1738407796.9577124
897,389,1738407796.9645026
941,374,1738407796.9704459
981,365,1738407796.9786944
1021,356,1738407796.9856412
1051,349,1738407796.9922922
1087,346,1738407796.9996705
1120,346,1738407797.006121
1153,346,1738407797.0138354
1185,353,1738407797.0205433
1215,363,1738407797.0279531
1232,370,1738407797.0353687
1259,387,1738407797.0419335
1278,400,1738407797.0488243
1297,412,1738407797.0561051
1314,426,1738407797.062687
1334,441,1738407797.0697927
1352,457,1738407797.0774086
1362,466,1738407797.0846834
1371,473,1738407797.0913022
1374,476,1738407797.0982513
1379,478,1738407797.1051893
1379,480,1738407797.1121387
1381,480,1738407797.118472
1381,480,1738407797.1254737
1381,480,1738407797.140941
1380,480,1738407797.155445
1371,473,1738407797.155445
1338,458,1738407797.1752903
1281,435,1738407797.18264
1241,426,1738407797.1897225
1198,417,1738407797.1964734
1170,414,1738407797.2033653
1132,414,1738407797.2103937
1091,414,1738407797.2173324
1066,414,1738407797.2242725
1031,423,1738407797.2317543
1006,430,1738407797.2389002
967,449,1738407797.2457285
929,470,1738407797.2524378
899,491,1738407797.2594693
866,517,1738407797.2664814
832,549,1738407797.273421
798,583,1738407797.280682
756,625,1738407797.2879093
722,658,1738407797.29435
690,689,1738407797.3001387
667,709,1738407797.3069432
646,730,1738407797.3145757
628,748,1738407797.3229802
616,759,1738407797.3276956
605,766,1738407797.3358853
597,770,1738407797.3442533
585,773,1738407797.3497047
574,773,1738407797.356859
571,772,1738407797.3635173
565,769,1738407797.371994
564,766,1738407797.3773766
563,758,1738407797.3844512
566,744,1738407797.3926558
576,719,1738407797.399114
589,693,1738407797.4059596
602,666,1738407797.4126854
622,632,1738407797.421075
640,600,1738407797.4256146
664,565,1738407797.4340954
697,523,1738407797.4400558
723,499,1738407797.4463303
762,470,1738407797.4561963
799,448,1738407797.4618895
830,434,1738407797.4677582
872,417,1738407797.474851
918,404,1738407797.4819717
966,394,1738407797.490208
1026,392,1738407797.4958248
1064,392,1738407797.502987
1103,398,1738407797.5105872
1131,406,1738407797.5179474
1163,424,1738407797.5246415
1192,443,1738407797.5322332
1218,465,1738407797.537106
1247,494,1738407797.5444098
1257,508,1738407797.553348
1270,532,1738407797.5614986
1275,549,1738407797.568429
1275,559,1738407797.5718074
1275,575,1738407797.5822906
1271,588,1738407797.588776
1263,601,1738407797.5942926
1240,620,1738407797.6032536
1206,638,1738407797.6102505
1165,653,1738407797.6169064
1129,664,1738407797.6239138
1079,674,1738407797.6284065
1025,683,1738407797.636919
970,687,1738407797.6454957
919,686,1738407797.6479936
882,683,1738407797.6591308
831,671,1738407797.661467
788,656,1738407797.6702557
767,646,1738407797.6805916
744,628,1738407797.6866813
727,608,1738407797.690134
717,585,1738407797.7015636
710,553,1738407797.7060127
709,530,1738407797.7147686
709,508,1738407797.7171655
713,492,1738407797.726703
719,477,1738407797.7327123
734,450,1738407797.7432456
752,426,1738407797.7497418
773,405,1738407797.7580385
793,388,1738407797.76542
828,362,1738407797.772303
861,340,1738407797.778815
887,327,1738407797.7857602
921,313,1738407797.7926943
956,302,1738407797.799975
993,295,1738407797.8069506
1026,295,1738407797.813912
1047,298,1738407797.821015
1059,302,1738407797.8280013
1070,307,1738407797.8347502
1083,314,1738407797.8420975
1092,322,1738407797.8489568
1101,332,1738407797.8559053
1106,340,1738407797.863633
1110,345,1738407797.870875
1113,351,1738407797.8778732
1118,360,1738407797.8837204
1121,369,1738407797.8905978
1124,376,1738407797.8977177
1127,386,1738407797.905474
1130,396,1738407797.9122088
1133,407,1738407797.9198825
1136,416,1738407797.9270124
1141,426,1738407797.933205
1145,433,1738407797.9403439
1149,446,1738407797.9471307
1155,454,1738407797.9541507
1161,464,1738407797.960733
1168,471,1738407797.9685748
1174,480,1738407797.9760368
1188,491,1738407797.9819543
1209,503,1738407797.988828
1220,506,1738407797.9957068
1233,509,1738407798.0030274
1248,510,1738407798.0093584
1264,510,1738407798.0163531
1286,510,1738407798.0232208
1299,508,1738407798.0302494
1313,505,1738407798.038668
1324,501,1738407798.0455308
1336,497,1738407798.0524614
1347,491,1738407798.0595562
1358,484,1738407798.0649066
1367,477,1738407798.0719514
1373,472,1738407798.0803854
1379,463,1738407798.0857477
1382,458,1738407798.0947282
1385,450,1738407798.0997603
1387,443,1738407798.106561
1386,432,1738407798.1156087
1383,417,1738407798.1227083
1378,403,1738407798.130094
1371,390,1738407798.1357949
1363,381,1738407798.1411908
1350,368,1738407798.1480527
1338,360,1738407798.1551228
1327,354,1738407798.1620135
1316,350,1738407798.1689272
1304,347,1738407798.1759448
1291,345,1738407798.183043
1276,345,1738407798.1897817
1263,344,1738407798.196769
1244,344,1738407798.203602
1226,347,1738407798.210581
1207,352,1738407798.2189465
1188,357,1738407798.2244635
1171,364,1738407798.2313554
1140,378,1738407798.2383883
1105,396,1738407798.2453384
1084,408,1738407798.2522762
1053,424,1738407798.2592537
1021,442,1738407798.2675622
992,457,1738407798.2730002
958,475,1738407798.2815316
926,491,1738407798.2891002
895,504,1738407798.2951438
867,514,1738407798.3007777
834,526,1738407798.3077536
802,535,1738407798.3146298
775,541,1738407798.3217628
752,544,1738407798.3286378
739,545,1738407798.3346713
716,547,1738407798.3445663
694,547,1738407798.3509147
683,547,1738407798.358073
668,544,1738407798.367159
655,541,1738407798.3716707
642,534,1738407798.3785775
629,525,1738407798.389933
620,520,1738407798.3968992
613,515,1738407798.400183
608,511,1738407798.4063451
604,506,1738407798.4134357
601,503,1738407798.418895
601,500,1738407798.427384
600,497,1738407798.439008
600,495,1738407798.4458227
601,492,1738407798.4528532
606,483,1738407798.459741
612,478,1738407798.4667277
623,466,1738407798.4735262
650,450,1738407798.4805381
681,436,1738407798.487499
719,425,1738407798.4951425
755,420,1738407798.5021656
792,416,1738407798.5078592
819,416,1738407798.515629
858,419,1738407798.5225742
900,424,1738407798.5296118
942,432,1738407798.536515
